pdf_page_1_based	text_characters	opening_text
1	0	
2	453	Thank you for downloading this Simon & Schuster ebook. Get a FREE ebook when you join our mailing list. Plus, get updates on new releases, d
3	0	
4	147	This book is for the founders, leaders, and teams who inspired and taught us along the way. And you. Yeah, you. This is for you and your tea
5	1557	Preface I run inside Orcas Island High School just as the late bell sounds, stumble on the threshold, and drop my three-ring binder. Sheets 
6	1957	“Eh,” Ian says. He scoots back and looks at Matt. “Want a turn?” Wait, what? Something’s wrong. Ian’s character hasn’t died. He hasn’t even 
7	932	Until I came up with a game I called “Mealy Mouse.” In Mealy Mouse, the player moved through a series of mazes. My friends didn’t exactly lo
8	931	Introduction Every once in a while, a new way of doing things comes along and everything clicks. The new way solves an important problem. It
9	545	I know, this is pretty obvious stuff. But even though it’s the most important thing for any big project… it’s kind of easy to lose track of 
10	2288	This book is based on firsthand experience with some of the world’s most successful startups. Early in our careers, my coauthor, John Zerats
11	1003	Design Sprint surprised us. I guess that’s an understatement—we were blown away. But after starting Character Capital, we noticed something 
12	1051	This book is about unlocking the power of the fundamentals. Teams who build winning products share some fundamental traits. They know their 
13	337	In our book Sprint, we profiled several startups who built products that clicked. Again, looking back, it’s easy to identify the simple prom
14	841	And for Slack, a startup we worked with in 2015: Each of these startups turned into a valuable business, and each was eventually acquired fo
15	1613	And even if a team does have clarity about their promise, there is no guarantee that customers will care. For every Gmail, thousands of new 
16	0	
17	587	This book compresses six months into ten hours. Inside, JZ and I will show you how to create clarity on the fundamentals in just ten hours s
18	1120	As its name suggests, the Founding Hypothesis is testable. By testing (and adjusting) your Founding Hypothesis up front, you can establish c
19	1888	This book is a great way to start. Inside, you’ll find ten brief chapters, each illustrating an essential lesson for defining the basics of 
20	256	Next time you start a big project, clear your calendar, follow the checklist, and run a Foundation Sprint You’re still here? Great. It’s not
21	9	Get Ready
22	115	Before the Foundation Sprint, clear your calendar, gather your team, and prepare for a new way of working together.
23	0	
24	1605	1 Reset In January 2009, I took a weeklong business trip to Stockholm. Now, before I say what I’m about to say, I want to state that I know 
25	2141	room, and we added more and more ideas on top of it. Interactive documents and agendas and whiteboards and on and on… But our proposal was n
