#,Activity,Description,Start Time,Duration,End Time,Comments
1,Welcome / walk-in,Welcome the team.,10:00,0:05,10:05,
2,Introduction,Introduce the sprint and set the right mindset.,10:05,0:25,10:30,
3,Basics,,10:30,0:00,10:30,
3.1,Target customer,Define the most important customer for your solution.,10:30,0:15,10:45,
3.2,Customer's problem,Identify the most critical problem to solve for your target customer.,10:45,0:15,11:00,
,BREAK,"Step away, refresh, and recharge.",11:00,0:10,11:10,
3.3,Capabilities,"List the unique skills, expertise, or technologies your team possesses to solve the problem.",11:10,0:10,11:20,
3.4,Insights,"Identify the unique knowledge, experience, or understanding that gives your team an edge.",11:20,0:10,11:30,
3.5,Motivations,Define the passions or internal drivers that push your team to solve this problem.,11:30,0:10,11:40,
3.6,Competitors,"Identify direct competitors, substitutes, and the ""800-pound gorilla"" in the market.",11:40,0:15,11:55,
3.7,Basics summary,"Summarize the target customer, their problem, the team advantages, and competitors on the Basics map.",11:55,0:05,12:00,
,BREAK,Take a longer break before the afternoon session.,12:00,1:00,13:00,
4,Differentiation,,13:00,0:00,13:00,
4.1,Common differentiators,"Explore how your solution compares using common differentiators (fast, easy, affordable, etc.).",13:00,0:15,13:15,
4.2,Custom differentiators - Ideate,"Generate bold, unique ways your solution stands out from competitors.",13:15,0:15,13:30,
4.3,Custom differentiators - Score,Review all custom differentiators and vote on their impact and feasibility.,13:30,0:10,13:40,
4.4,Select top differentiators,Vote on and finalize the differentiators to pursue.,13:40,0:10,13:50,
,BREAK,"Step away, refresh, and recharge.",13:50,0:10,14:00,
5,Differentiation chart,,14:00,0:00,14:00,
5.1,Assess differentiators,Plot competitors and your solution based on key differentiators.,14:00,0:45,14:45,
5.2,Core values,Brainstorm the fundamental beliefs that will guide your team’s decisions and behaviors.,14:45,0:20,15:05,
5.3,Guiding principles,Draft actionable principles that help the team stay aligned with their values during decisions.,15:05,0:20,15:25,
5.4,Mini manifesto,Summarize the key insights in Mini Manifesto and close the session.,15:25,0:05,15:30,
6,WRAP-UP,,15:30,0,15:30,
,,,,,,
#,Activity,Description,Start Time,Duration,End Time,Comment
1,Welcome / walk-in,Welcome the team back again.,10:00,0:05,10:05,
2,Approaches,,10:05,0:00,10:05,
2.1,Generate possible approaches,Ideate multiple approaches to solve the problem.,10:05,0:30,10:35,
2.2,Create one-page summaries,"Develop brief one-page summaries for each approach, including title, description, and sketch.",10:35,0:30,11:05,
,BREAK,Take a short pause before evaluation.,11:05,0:10,11:15,
2.3,"Review summaries & heatmap vote	",Review all one-page summaries and use heatmap voting to highlight favorite elements.,11:15,0:10,11:25,
3,Classic Magic Lenses,,11:25,0:00,11:25,
3.2,Criteria,"Identify key criteria (e.g., cost, effort, risk, scalability) for each approach.",11:25,0:20,11:45,
3.4,Evaluate common Magic Lenses,"Use the customer, pragmatic, growth, and money lenses to compare approaches.",11:45,0:15,12:00,
,BREAK,Take a longer break before the afternoon session.,12:00,1:00,13:00,
3.4,Evaluate common Magic Lenses,"Use the customer, pragmatic, growth, and money lenses to compare approaches.",13:00,0:45,13:45,
4,Custom Magic Lenses,,13:45,0:00,13:45,
4.1,Review criteria,Revisit the team's selected criteria and align on which matter most for final selection.,13:45,0:05,13:50,
4.2,Evaluate custom Magic Lenses,Compare approaches using the custom lenses designed based on team-specific priorities.,13:50,0:30,14:20,
,BREAK,Take a short pause before evaluation.,14:20,0:10,14:30,
4.3,Evaluate differentiations,Test each approach against the differentiators defined on Day 1 to ensure alignment.,14:30,0:15,14:45,
4.4,Zoom out and decide,Review all charts and let the decider choose the final approach and a backup plan.,14:45,0:30,15:15,
5,Founding Hypothesis,,15:15,0:00,15:15,
5.1,Founding Hypothesis,Summarize all key decisions in one clear statement.,15:15,0:15,15:30,
6,WRAP-UP,,14:45,0,14:45,
