Recommended_Order,Tier,Phase,Person_or_Author,Resource_Title,Resource_Type,Series_or_Publisher,Date_or_Year,Primary_Goal,Why_It_Is_Relevant,Key_Frameworks_or_Topics,Practical_Output,Related_Book_or_Method,Primary_Link,Secondary_Link,Notes
1,Tier 1 — Choose / rank ideas,Idea selection + definition,Jake Knapp; John Zeratsky,Rapidly test and validate any startup idea with the 2-day Foundation Sprint,Podcast / video,Lenny's Podcast,2025-07-13,Turn a vague idea into a testable foundation and choose between competing ideas.,Closest overall match to having many promising ideas and needing a repeatable way to decide which deserves investment.,Foundation Sprint; 7 Magic Lenses; differentiation 2x2; note-and-vote; customer/problem/advantage hypotheses,"A clearer customer, problem, differentiation, founding advantage, and ranked/selected idea.",Click; Sprint; Design Sprint,https://www.lennysnewsletter.com/p/the-foundation-sprint-jake-knapp-and-john-zeratsky,https://www.character.vc/miro-template,Highest-priority starting resource.
2,Tier 1 — Choose / rank ideas,Idea selection + definition,Jake Knapp; John Zeratsky / Character Capital,Official Foundation Sprint + Design Sprint Miro Template,Template / workshop,Character Capital,2025,Apply the Foundation Sprint rather than only listening to it.,Turns the idea-ranking and idea-development concepts into an actual working exercise.,Foundation Sprint exercises; team alignment; idea comparison; differentiation; validation planning,Completed working board for one or several ideas.,Click; Sprint; Foundation Sprint,https://www.character.vc/miro-template,https://www.lennysnewsletter.com/p/the-foundation-sprint-jake-knapp-and-john-zeratsky,Use immediately after or while consuming resource #1.
3,Tier 1 — Choose / rank ideas,Idea evaluation,Kevin Hale,How to Evaluate Startup Ideas — Part 1,Video / lecture,Y Combinator / Startup School,2019,Evaluate whether a startup idea is structurally strong before committing.,YC created this material specifically for founders with no idea or too many ideas.,Problem; solution; insight; hypothesis quality; startup idea evaluation,"A sharper evaluation of each idea's problem, solution and unique insight.",Y Combinator startup evaluation methodology,https://www.youtube.com/watch?v=DOtCl5PU8F0,https://www.ycombinator.com/blog/startup-school-week-1-recap-kevin-hale-and-eric-migicovsky/,Consume before doing serious validation work.
4,Tier 1 — Choose / rank ideas,Idea evaluation,Kevin Hale,How to Evaluate Startup Ideas — Part 2,Video / lecture,Y Combinator / Startup School,2019,Go deeper on the claims and risks embedded in an idea.,"Adds a second pass after the initial idea screen, especially around opportunity and complexity.",Idea claims; opportunity; complexity; risk; evidence,A more rigorous second-pass assessment of surviving ideas.,Y Combinator startup evaluation methodology,https://www.youtube.com/watch?v=17XZGUX_9iM,,Best immediately after Part 1.
5,Tier 1 — Choose / rank ideas,Idea comparison / pre-validation,Rob Walling,The 5 P.M. Pre-Validation Framework,Podcast,Startups for the Rest of Us,2022,Score and compare software/SaaS ideas before validation.,Especially well-suited to someone with a backlog of app ideas who needs a practical ranking mechanism.,Problem; purchaser; pricing; market; product/founder fit; pain of validation,Comparable scores and a shortlist of ideas worth validating.,5 P.M. framework,https://www.startupsfortherestofus.com/episodes/episode-628-the-5-pm-pre-validation-framework,,One of the most directly applicable resources in the whole list.
6,Tier 1 — Choose / rank ideas,Idea comparison / pre-validation,Rob Walling,5 P.M. Revisited,Podcast,Startups for the Rest of Us,2026-07,Update and refine how the 5 P.M. framework is scored.,"Adds Rob Walling's newer, more opinionated thinking on factors such as pricing and market size.",5 P.M.; market size; pricing; idea scoring,A better calibrated 5 P.M. scorecard.,5 P.M. framework,https://www.startupsfortherestofus.com/episodes/episode-840-5-pm-revisited-starting-over-after-failure-never-shipping-and-more-listener-questions-rob-solo,,Use after the original 5 P.M. episode.
7,Tier 1 — Choose / rank ideas,Idea selection / market attractiveness,Andrew Wilkinson,I've run 75+ businesses. Here's why you're probably chasing the wrong idea.,Podcast / video,Lenny's Podcast,2025-07-03,"Recognize attractive markets, unfair advantages and ideas that should never be started.",Directly addresses chasing the wrong idea and quickly judging business quality.,Fish where the fish are; boring markets; unfair advantage; moats; shutdown signals,A stronger screen for eliminating deceptively attractive ideas.,Buffett-style moats; Tiny's business evaluation heuristics,https://www.lennysnewsletter.com/p/ive-run-75-businesses-andrew-wilkinson,,Strong business-quality lens after the first structured scorecards.
8,Tier 1 — Choose / rank ideas,Idea traps / pivot decisions,Dalton Caldwell,"Lessons from 1,000+ YC startups: resilience, tar pit ideas, pivoting, more",Podcast / video,Lenny's Podcast,2024-04-18,"Spot tar-pit ideas, understand when to stop, and recognize better pivots.",Excellent antidote to ideas that get encouraging reactions but repeatedly fail as businesses.,Tar-pit ideas; pivoting; market size; customer conversations; failure patterns,A list of traps and disqualifiers to apply to your shortlisted ideas.,Y Combinator founder coaching patterns,https://www.lennysnewsletter.com/p/lessons-from-1000-yc-startups,https://www.ycombinator.com/library/Ij-avoid-these-tempting-startup-tarpit-ideas,Particularly useful before emotionally committing to an idea.
9,Tier 1 — Choose / rank ideas,Breakout-potential evaluation,Mike Maples Jr.; Peter Ziebelman,Pattern Breakers: How to find a breakthrough startup idea,Podcast / video,Lenny's Podcast,2024-07-07,Judge whether an idea has ingredients associated with breakthrough companies.,"Useful after basic validation screens to distinguish a merely decent idea from fertile, high-upside territory.",Inflections; non-obvious insights; founder-future fit; lighthouse customers; desperate need,A higher-level assessment of an idea's breakthrough potential.,Pattern Breakers: Why Some Start-Ups Change the Future,https://www.lennysnewsletter.com/p/how-to-find-a-great-startup-idea-mike-maples-jr,https://www.patternbreakers.com/,"Best used on the top few survivors, not every raw idea."
10,Tier 1 — Choose / rank ideas,Breakout-potential evaluation,James Currier,Hidden Patterns of Great Startup Ideas,Talk / article,NFX / Stanford GSB,Various,Identify structural patterns behind unusually strong startup ideas.,Helps avoid spending years on mediocre opportunities even when the idea sounds plausible.,Technology shifts; market changes; timing; founder-market fit; network effects; structural advantage,A structural-quality review of your best ideas.,NFX startup idea patterns,https://www.nfx.com/post/hidden-patterns-of-startup-ideas-gsb-talk,https://www.nfx.com/post/hidden-patterns-great-startup-ideas,"Complementary to Mike Maples; less about validation, more about fertile opportunity structure."
